time_utc,time_msc,bid,ask,last,volume,flags
2026-08-19T02:15:05.240000+00:00,1787105705240,1.38949,1.38963,0.0,0,134
2026-08-19T02:15:15.762000+00:00,1787105715762,1.3895,1.38964,0.0,0,134
2026-08-19T02:15:17.054000+00:00,1787105717054,1.38951,1.38965,0.0,0,134
2026-08-19T02:15:24.753000+00:00,1787105724753,1.38953,1.38967,0.0,0,134
2026-08-19T02:15:28.348000+00:00,1787105728348,1.38954,1.38968,0.0,0,134
2026-08-19T02:15:30.825000+00:00,1787105730825,1.38953,1.38967,0.0,0,134
2026-08-19T02:15:43.696000+00:00,1787105743696,1.38954,1.38968,0.0,0,134
2026-08-19T02:15:48.680000+00:00,1787105748680,1.38956,1.3897,0.0,0,134
2026-08-19T02:15:49.636000+00:00,1787105749636,1.38953,1.38967,0.0,0,134
2026-08-19T02:15:49.636000+00:00,1787105749636,1.3895,1.38964,0.0,0,134
2026-08-19T02:15:49.637000+00:00,1787105749637,1.38948,1.38962,0.0,0,134
2026-08-19T02:15:49.682000+00:00,1787105749682,1.38945,1.38959,0.0,0,134
2026-08-19T02:15:50.153000+00:00,1787105750153,1.38947,1.38961,0.0,0,134
2026-08-19T02:15:50.381000+00:00,1787105750381,1.3895,1.38964,0.0,0,134
2026-08-19T02:15:53.663000+00:00,1787105753663,1.38951,1.38965,0.0,0,134
2026-08-19T02:15:58.820000+00:00,1787105758820,1.3895,1.38964,0.0,0,134
2026-08-19T02:16:00.415000+00:00,1787105760415,1.3895,1.38964,0.0,0,130
2026-08-19T02:16:02.660000+00:00,1787105762660,1.38948,1.38962,0.0,0,134
2026-08-19T02:16:02.668000+00:00,1787105762668,1.38945,1.38959,0.0,0,134
2026-08-19T02:16:02.670000+00:00,1787105762670,1.38941,1.38957,0.0,0,134
2026-08-19T02:16:02.685000+00:00,1787105762685,1.38938,1.38954,0.0,0,134
2026-08-19T02:16:02.687000+00:00,1787105762687,1.3893499999999999,1.38951,0.0,0,134
2026-08-19T02:16:02.688000+00:00,1787105762688,1.38931,1.38947,0.0,0,134
2026-08-19T02:16:02.714000+00:00,1787105762714,1.38927,1.38943,0.0,0,134
2026-08-19T02:16:02.714000+00:00,1787105762714,1.38924,1.3894,0.0,0,134
2026-08-19T02:16:02.730000+00:00,1787105762730,1.38922,1.38938,0.0,0,134
2026-08-19T02:16:02.749000+00:00,1787105762749,1.38919,1.3893499999999999,0.0,0,134
