Trade Key,Position ID,Order Ticket,Symbol,Broker Symbol,Direction,Result,Entry Time UTC,Exit Or Archive End UTC,Timeframe,Bars CSV,Entry Bar Open UTC,Exit Bar Open UTC,Entry Bar Row Index,Exit Bar Row Index,Bars In Trade Window
2187624002,2187624002,2187624002,NZDCHF,NZDCHFm,long,Loss,2026-08-19T13:05:26.311000+00:00,2026-08-19T13:50:01.283000+00:00,15m,bars/NZDCHF/15m/NZDCHF_15m.csv,2026-08-19T13:00:00+00:00,2026-08-19T13:45:00+00:00,74,77,4
2187624002,2187624002,2187624002,NZDCHF,NZDCHFm,long,Loss,2026-08-19T13:05:26.311000+00:00,2026-08-19T13:50:01.283000+00:00,5m,bars/NZDCHF/5m/NZDCHF_5m.csv,2026-08-19T13:05:00+00:00,2026-08-19T13:50:00+00:00,223,232,10
2190881806,2190881806,2190881806,NZDUSD,NZDUSDm,short,Loss,2026-08-19T18:10:29.638000+00:00,2026-08-19T18:41:14.279000+00:00,4h,bars/NZDUSD/4h/NZDUSD_4h.csv,2026-08-19T16:00:00+00:00,2026-08-19T16:00:00+00:00,5,5,1
2190881806,2190881806,2190881806,NZDUSD,NZDUSDm,short,Loss,2026-08-19T18:10:29.638000+00:00,2026-08-19T18:41:14.279000+00:00,15m,bars/NZDUSD/15m/NZDUSD_15m.csv,2026-08-19T18:00:00+00:00,2026-08-19T18:30:00+00:00,94,96,3
2190881806,2190881806,2190881806,NZDUSD,NZDUSDm,short,Loss,2026-08-19T18:10:29.638000+00:00,2026-08-19T18:41:14.279000+00:00,5m,bars/NZDUSD/5m/NZDUSD_5m.csv,2026-08-19T18:10:00+00:00,2026-08-19T18:40:00+00:00,284,290,7
2191535017,2191535017,2191535017,AUDUSD,AUDUSDm,short,Loss,2026-08-19T19:15:28.107000+00:00,2026-08-19T19:26:05.217000+00:00,4h,bars/AUDUSD/4h/AUDUSD_4h.csv,2026-08-19T16:00:00+00:00,2026-08-19T16:00:00+00:00,5,5,1
2191535017,2191535017,2191535017,AUDUSD,AUDUSDm,short,Loss,2026-08-19T19:15:28.107000+00:00,2026-08-19T19:26:05.217000+00:00,15m,bars/AUDUSD/15m/AUDUSD_15m.csv,2026-08-19T19:15:00+00:00,2026-08-19T19:15:00+00:00,99,99,1
2191535017,2191535017,2191535017,AUDUSD,AUDUSDm,short,Loss,2026-08-19T19:15:28.107000+00:00,2026-08-19T19:26:05.217000+00:00,5m,bars/AUDUSD/5m/AUDUSD_5m.csv,2026-08-19T19:15:00+00:00,2026-08-19T19:25:00+00:00,297,299,3
2191680635,2191680635,2191680635,GBPUSD,GBPUSDm,short,Loss,2026-08-19T19:35:29.533000+00:00,2026-08-20T04:08:58.059000+00:00,4h,bars/GBPUSD/4h/GBPUSD_4h.csv,2026-08-19T16:00:00+00:00,2026-08-20T04:00:00+00:00,5,8,4
2191680635,2191680635,2191680635,GBPUSD,GBPUSDm,short,Loss,2026-08-19T19:35:29.533000+00:00,2026-08-20T04:08:58.059000+00:00,15m,bars/GBPUSD/15m/GBPUSD_15m.csv,2026-08-19T19:30:00+00:00,2026-08-20T04:00:00+00:00,100,134,35
2191680635,2191680635,2191680635,GBPUSD,GBPUSDm,short,Loss,2026-08-19T19:35:29.533000+00:00,2026-08-20T04:08:58.059000+00:00,5m,bars/GBPUSD/5m/GBPUSD_5m.csv,2026-08-19T19:35:00+00:00,2026-08-20T04:05:00+00:00,300,401,102
2192174615,2192174615,2192174615,NZDCAD,NZDCADm,short,Loss,2026-08-19T22:00:16.913000+00:00,2026-08-19T22:00:37.364000+00:00,4h,bars/NZDCAD/4h/NZDCAD_4h.csv,2026-08-19T20:00:00+00:00,2026-08-19T20:00:00+00:00,6,6,1
2192174615,2192174615,2192174615,NZDCAD,NZDCADm,short,Loss,2026-08-19T22:00:16.913000+00:00,2026-08-19T22:00:37.364000+00:00,15m,bars/NZDCAD/15m/NZDCAD_15m.csv,2026-08-19T22:00:00+00:00,2026-08-19T22:00:00+00:00,110,110,1
2192174615,2192174615,2192174615,NZDCAD,NZDCADm,short,Loss,2026-08-19T22:00:16.913000+00:00,2026-08-19T22:00:37.364000+00:00,5m,bars/NZDCAD/5m/NZDCAD_5m.csv,2026-08-19T22:00:00+00:00,2026-08-19T22:00:00+00:00,328,328,1
2192275158,2192275158,2192275158,AUDJPY,AUDJPYm,long,Profit,2026-08-19T22:10:26.922000+00:00,2026-08-20T09:19:11.942000+00:00,4h,bars/AUDJPY/4h/AUDJPY_4h.csv,2026-08-19T20:00:00+00:00,2026-08-20T08:00:00+00:00,6,9,4
2192275158,2192275158,2192275158,AUDJPY,AUDJPYm,long,Profit,2026-08-19T22:10:26.922000+00:00,2026-08-20T09:19:11.942000+00:00,15m,bars/AUDJPY/15m/AUDJPY_15m.csv,2026-08-19T22:00:00+00:00,2026-08-20T09:15:00+00:00,110,155,46
2192275158,2192275158,2192275158,AUDJPY,AUDJPYm,long,Profit,2026-08-19T22:10:26.922000+00:00,2026-08-20T09:19:11.942000+00:00,5m,bars/AUDJPY/5m/AUDJPY_5m.csv,2026-08-19T22:10:00+00:00,2026-08-20T09:15:00+00:00,332,465,134
2192325997,2192325997,2192325997,EURCAD,EURCADm,short,Profit,2026-08-19T22:30:30.176000+00:00,2026-08-20T09:03:15.417000+00:00,4h,bars/EURCAD/4h/EURCAD_4h.csv,2026-08-19T20:00:00+00:00,2026-08-20T08:00:00+00:00,6,9,4
2192325997,2192325997,2192325997,EURCAD,EURCADm,short,Profit,2026-08-19T22:30:30.176000+00:00,2026-08-20T09:03:15.417000+00:00,15m,bars/EURCAD/15m/EURCAD_15m.csv,2026-08-19T22:30:00+00:00,2026-08-20T09:00:00+00:00,112,154,43
2192325997,2192325997,2192325997,EURCAD,EURCADm,short,Profit,2026-08-19T22:30:30.176000+00:00,2026-08-20T09:03:15.417000+00:00,5m,bars/EURCAD/5m/EURCAD_5m.csv,2026-08-19T22:30:00+00:00,2026-08-20T09:00:00+00:00,335,461,127
2195235020,2195235020,2195235020,USDCHF,USDCHFm,long,Loss,2026-08-20T09:05:21.578000+00:00,2026-08-20T09:10:17.184000+00:00,4h,bars/USDCHF/4h/USDCHF_4h.csv,2026-08-20T08:00:00+00:00,2026-08-20T08:00:00+00:00,9,9,1
2195235020,2195235020,2195235020,USDCHF,USDCHFm,long,Loss,2026-08-20T09:05:21.578000+00:00,2026-08-20T09:10:17.184000+00:00,15m,bars/USDCHF/15m/USDCHF_15m.csv,2026-08-20T09:00:00+00:00,2026-08-20T09:00:00+00:00,154,154,1
2195235020,2195235020,2195235020,USDCHF,USDCHFm,long,Loss,2026-08-20T09:05:21.578000+00:00,2026-08-20T09:10:17.184000+00:00,5m,bars/USDCHF/5m/USDCHF_5m.csv,2026-08-20T09:05:00+00:00,2026-08-20T09:10:00+00:00,463,464,2
