pair,trade_number,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,outcome,pnl_R,exit_reason
NZDUSD,38,long,2023-07-19T12:00:00+00:00,2023-07-20T00:00:00+00:00,0.62464,0.629047,0.617499,0.630746,win,0.617,Exit at 0.62905 via mean_revert -> WIN (+0.62R)
NZDUSD,39,long,2023-07-20T16:00:00+00:00,2023-07-24T08:00:00+00:00,0.62231,0.621163,0.61466,0.627114,loss,-0.15,Exit at 0.62116 via mean_revert -> LOSS (-0.15R)
NZDUSD,40,short,2023-08-29T20:00:00+00:00,2023-08-31T08:00:00+00:00,0.59745,0.595062,0.603699,0.592823,win,0.382,Exit at 0.59506 via mean_revert -> WIN (+0.38R)
NZDUSD,41,short,2023-11-02T00:00:00+00:00,2023-11-03T12:00:00+00:00,0.58795,0.594051,0.594051,0.584168,loss,-1.0,Exit at 0.59405 via atr_stop -> LOSS (-1.00R)
NZDUSD,42,long,2023-11-08T20:00:00+00:00,2023-11-09T04:00:00+00:00,0.59093,0.593595,0.585867,0.594321,win,0.526,Exit at 0.59360 via mean_revert -> WIN (+0.53R)
NZDUSD,43,long,2024-01-02T12:00:00+00:00,2024-01-03T12:00:00+00:00,0.62812,0.622267,0.622267,0.631837,loss,-1.0,Exit at 0.62227 via atr_stop -> LOSS (-1.00R)
NZDUSD,44,long,2024-01-03T20:00:00+00:00,2024-01-04T04:00:00+00:00,0.6243,0.627307,0.61843,0.628048,win,0.512,Exit at 0.62731 via mean_revert -> WIN (+0.51R)
NZDUSD,45,short,2024-04-03T16:00:00+00:00,2024-04-04T04:00:00+00:00,0.59982,0.603492,0.603492,0.5976,loss,-1.0,Exit at 0.60349 via atr_stop -> LOSS (-1.00R)
NZDUSD,46,short,2024-04-04T12:00:00+00:00,2024-04-05T12:00:00+00:00,0.60345,0.600671,0.607118,0.598654,win,0.757,Exit at 0.60067 via mean_revert -> WIN (+0.76R)
NZDUSD,47,short,2024-04-25T12:00:00+00:00,2024-04-25T12:00:00+00:00,0.59601,0.59362,0.599887,0.59362,win,0.616,Exit at 0.59362 via mean_revert -> WIN (+0.62R)
NZDUSD,48,short,2024-05-03T04:00:00+00:00,2024-05-03T12:00:00+00:00,0.59694,0.60215,0.60215,0.593636,loss,-1.0,Exit at 0.60215 via atr_stop -> LOSS (-1.00R)
NZDUSD,49,long,2024-05-30T04:00:00+00:00,2024-05-30T12:00:00+00:00,0.6104,0.612862,0.606801,0.613083,win,0.684,Exit at 0.61286 via mean_revert -> WIN (+0.68R)
NZDUSD,50,long,2024-06-07T16:00:00+00:00,2024-06-11T16:00:00+00:00,0.61108,0.61326,0.605816,0.617342,win,0.414,Exit at 0.61326 via mean_revert -> WIN (+0.41R)
NZDUSD,51,long,2024-06-17T08:00:00+00:00,2024-06-18T00:00:00+00:00,0.61163,0.613832,0.607344,0.61477,win,0.514,Exit at 0.61383 via mean_revert -> WIN (+0.51R)
