trade_id,signal_id,strategy,symbol,broker_symbol,direction,model,signal_time_utc,entry_time_utc,exit_time_utc,signal_price,entry_price,fill_price,structural_stop,effective_stop,stop_price,initial_risk,destination_target,active_target,destination_reward_risk_at_fill,exit_price,exit_reason,status,outcome,r,realized_r,peak_r,mfe_r,mae_r,partial_banked,partial_fraction,remaining_fraction,final_stop_price,final_stop_r,bars_held_5m,spread_at_fill_points,spread_at_fill_price,spread_pct_of_initial_risk,entry_zone_id,destination_zone_id,campaign_zone_count,stop_basis
trade-786d10761da3b156,786d10761da3b156,s146,AUDUSD,AUDUSDm,long,aggressive_liquidation,2025-08-22T04:05:00Z,2025-08-22T04:05:00Z,2025-08-22T04:35:00Z,0.642342112,0.64233,0.64233,0.641867905,0.641867905,0.641867905,0.000462095,0.64327,0.64327,2.0342137439,0.641867905,stop_loss,loss,loss,-1.0,-1.0,0.1298434305,0.1298434305,-1.2984343046,False,0.0,1.0,0.641867905,-1.0,6,9.0,9e-05,0.1947651457,15m-1755827100-1-50bddc,4h-1755720000--1-683f03,1,liquidity_pool_plus_buffer
trade-fc3992ead6761fea,fc3992ead6761fea,s146,USDJPY,USDJPYm,short,aggressive_liquidation,2025-08-22T07:55:00Z,2025-08-22T07:55:00Z,2025-08-22T10:05:00Z,148.5455722,148.558,148.558,148.72843605,148.72843605,148.72843605,0.17043605,147.331,147.331,7.1991811592,148.72843605,stop_loss,loss,loss,-1.0,-1.0,0.0528057298,0.0528057298,-1.0150434723,False,0.0,1.0,148.72843605,-1.0,26,10.0,0.01,0.0586730331,15m-1755841500--1-4948da,4h-1755720000-1-84eaf6,1,liquidity_pool_plus_buffer
trade-154c89bae84dfb24,154c89bae84dfb24,s146,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-22T08:15:00Z,2025-08-22T08:15:00Z,2025-08-22T10:10:00Z,1.390910448,1.39104,1.39104,1.3917195825,1.3917195825,1.3917195825,0.0006795825,1.38799,1.38799,4.4880496481,1.3917195825,stop_loss,loss,loss,-1.0,-1.0,0.2207237532,0.2207237532,-1.0741889322,False,0.0,1.0,1.3917195825,-1.0,23,15.0,0.00015,0.2207237532,15m-1755847800--1-6d1851,4h-1755748800-1-00ef15,1,15m_zone_distal_plus_buffer
trade-a62c335d28bf12be,a62c335d28bf12be,s146,USDCAD,USDCADm,long,conservative_mss,2025-08-25T00:05:00Z,2025-08-25T00:05:00Z,2025-08-25T12:25:00Z,1.3835791735,1.38362,1.38362,1.3820008965,1.3820008965,1.3820008965,0.0016191035,1.39011,1.39011,4.0083910633,1.3820008965,stop_loss,loss,loss,-1.0,-1.0,0.4261617617,0.4261617617,-1.2105464536,False,0.0,1.0,1.3820008965,-1.0,148,15.0,0.00015,0.0926438612,15m-1756072800-1-785569,4h-1755820800--1-194a25,1,liquidity_pool_plus_buffer
trade-762ed599d46f15e4,762ed599d46f15e4,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-25T05:30:00Z,2025-08-25T05:30:00Z,2025-08-25T06:10:00Z,0.58656067,0.5866,0.5866,0.58702935,0.58702935,0.58702935,0.00042935,0.58088,0.58088,13.3224641901,0.58702935,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.4207523,False,0.0,1.0,0.58702935,-1.0,8,18.0,0.00018,0.4192383836,15m-1756072800--1-de1a75,4h-1755849600-1-0f6a14,1,15m_zone_distal_plus_buffer
trade-4c28fa225bf5b274,4c28fa225bf5b274,s146,EURUSD,EURUSDm,short,aggressive_liquidation,2025-08-25T06:50:00Z,2025-08-25T06:50:00Z,2025-08-25T08:05:00Z,1.1715614165,1.17166,1.17166,1.1725086225,1.1725086225,1.1725086225,0.0008486225,1.16121,1.16121,12.31407369,1.169962755,trailing_stop,win,win,1.625,1.625,2.5570851586,2.5570851586,-0.3652978798,True,0.5,0.5,1.169962755,2.0,15,9.0,9e-05,0.1060542232,15m-1756070100--1-5ec2c8,4h-1755820800-1-87c626,1,15m_zone_distal_plus_buffer
trade-19ae34b1d363b94e,19ae34b1d363b94e,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-25T11:45:00Z,2025-08-25T11:45:00Z,2025-08-25T11:55:00Z,0.586690662,0.58676,0.58676,0.587129355,0.587129355,0.587129355,0.000369355,0.58088,0.58088,15.9196437032,0.587129355,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.0558947354,False,0.0,1.0,0.587129355,-1.0,2,18.0,0.00018,0.4873360317,15m-1756110600--1-2361a8,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-917355432255e3ba,917355432255e3ba,s146,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-26T03:15:00Z,2025-08-26T03:15:00Z,2025-08-26T06:20:00Z,1.3855007205,1.38559,1.38559,1.386109302,1.386109302,1.386109302,0.000519302,1.38354,1.38354,3.947606595,1.386109302,stop_loss,loss,loss,-1.0,-1.0,0.9050610242,0.9050610242,-1.6945823432,False,0.0,1.0,1.386109302,-1.0,37,15.0,0.00015,0.288849263,15m-1756163700--1-92980a,4h-1756108800-1-e0db88,1,liquidity_pool_plus_buffer
trade-2b4912f1559e14f5,2b4912f1559e14f5,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-26T16:35:00Z,2025-08-26T16:35:00Z,2025-08-27T01:35:00Z,0.586110693,0.58614,0.58614,0.5867593365,0.5867593365,0.5867593365,0.0006193365,0.58088,0.58088,8.4929598046,0.5855206635,trailing_stop,win,win,1.125,1.125,1.7760942557,1.7760942557,-0.7750229479,True,0.5,0.5,0.5855206635,1.0,108,18.0,0.00018,0.2906336055,15m-1756137600--1-40a0cb,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-5257b635932207d0,5257b635932207d0,s146,USDCAD,USDCADm,long,aggressive_liquidation,2025-08-26T17:35:00Z,2025-08-26T17:35:00Z,2025-08-27T14:55:00Z,1.3834991715,1.38358,1.38358,1.381910901,1.381910901,1.381910901,0.001669099,1.39011,1.39011,3.9122904034,1.38358,breakeven_stop,win,win,0.625,0.625,1.2701463484,1.2701463484,-0.4852917652,True,0.5,0.5,1.38358,0.0,256,15.0,0.00015,0.0898688454,15m-1756133100-1-0f31c9,4h-1755820800--1-194a25,1,15m_zone_distal_plus_buffer
trade-03cde30405d60bae,03cde30405d60bae,s146,USDCHF,USDCHFm,short,aggressive_liquidation,2025-08-27T08:00:00Z,2025-08-27T08:00:00Z,2025-08-27T08:10:00Z,0.80555972,0.8056,0.8056,0.8064503205,0.8064503205,0.8064503205,0.0008503205,0.80236,0.80236,3.8103279881,0.8064503205,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.117225799,False,0.0,1.0,0.8064503205,-1.0,2,13.0,0.00013,0.1528835304,15m-1756204200--1-d09ab7,4h-1756108800-1-3d4930,1,15m_zone_distal_plus_buffer
trade-3bad6e212bd90826,3bad6e212bd90826,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-27T17:55:00Z,2025-08-27T17:55:00Z,2025-08-27T18:05:00Z,0.5861006935,0.58613,0.58613,0.5864593215,0.5864593215,0.5864593215,0.0003293215,0.58088,0.58088,15.9418683566,0.5864593215,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.0324257602,False,0.0,1.0,0.5864593215,-1.0,2,18.0,0.00018,0.5465783437,15m-1756228500--1-b753c1,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-ee6a303d62c43c94,ee6a303d62c43c94,s146,GBPUSD,GBPUSDm,short,aggressive_liquidation,2025-08-27T22:00:00Z,2025-08-27T22:00:00Z,2025-08-27T22:10:00Z,1.3492825325,1.34958,1.34958,1.349927493,1.349927493,1.349927493,0.000347493,1.34528,1.34528,12.3743499869,1.349927493,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.2662125568,False,0.0,1.0,1.349927493,-1.0,2,11.0,0.00011,0.3165531392,15m-1756326600--1-02209c,4h-1756281600-1-7be69c,1,liquidity_pool_plus_buffer
trade-ae39ad650e9483d9,ae39ad650e9483d9,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-27T22:50:00Z,2025-08-27T22:50:00Z,2025-08-27T23:05:00Z,0.5857007135,0.58573,0.58573,0.585989298,0.585989298,0.585989298,0.000259298,0.58088,0.58088,18.7043478932,0.585989298,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.4654952988,False,0.0,1.0,0.585989298,-1.0,3,18.0,0.00018,0.6941819837,15m-1756326600--1-eae800,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-4128dd96d05a3670,4128dd96d05a3670,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-28T02:15:00Z,2025-08-28T02:15:00Z,2025-08-28T03:00:00Z,0.5856207175,0.58567,0.58567,0.586309314,0.586309314,0.586309314,0.000639314,0.58088,0.58088,7.4924059226,0.586309314,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.3295501115,False,0.0,1.0,0.586309314,-1.0,9,18.0,0.00018,0.2815517883,15m-1756342800--1-f5c21a,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-a0c5cde253c428cd,a0c5cde253c428cd,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-28T06:10:00Z,2025-08-28T06:10:00Z,2025-08-28T08:00:00Z,0.801640079,0.80171,0.80171,0.8012699345,0.8012699345,0.8012699345,0.0004400655,0.8056,0.8056,8.8395931969,0.8012699345,stop_loss,loss,loss,-1.0,-1.0,0.8407839288,0.8407839288,-1.4770528478,False,0.0,1.0,0.8012699345,-1.0,22,13.0,0.00013,0.2954105696,15m-1756354500-1-040e9a,4h-1756281600--1-970b7f,1,liquidity_pool_plus_buffer
trade-900aa087076501e5,900aa087076501e5,s146,USDCAD,USDCADm,long,aggressive_liquidation,2025-08-28T06:20:00Z,2025-08-28T06:20:00Z,2025-08-28T06:40:00Z,1.3779388905,1.37793,1.37793,1.3775661182,1.3775661182,1.3775661182,0.0003638818,1.38458,1.38458,18.2751676884,1.37793,breakeven_stop,win,win,0.625,0.625,1.456517124,1.456517124,-0.4946661931,True,0.5,0.5,1.37793,0.0,4,15.0,0.00015,0.4122218276,15m-1756354500-1-0f28b9,4h-1756281600--1-dddcb7,1,liquidity_pool_plus_buffer
trade-aa9a8a683ac84875,aa9a8a683ac84875,s146,AUDUSD,AUDUSDm,short,aggressive_liquidation,2025-08-28T06:20:00Z,2025-08-28T06:20:00Z,2025-08-28T06:25:00Z,0.6512474335,0.65133,0.65133,0.651472572,0.651472572,0.651472572,0.000142572,0.64781,0.64781,24.6892798025,0.651472572,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.5430799877,False,0.0,1.0,0.651472572,-1.0,1,9.0,9e-05,0.6312599949,15m-1756354500--1-203a02,4h-1756281600-1-eb152b,1,liquidity_pool_plus_buffer
trade-6329a970bafa870b,6329a970bafa870b,s146,NZDUSD,NZDUSDm,short,aggressive_liquidation,2025-08-28T06:30:00Z,2025-08-28T06:30:00Z,2025-08-28T06:40:00Z,0.585860698,0.58604,0.58604,0.5863143142,0.5863143142,0.5863143142,0.0002743142,0.58088,0.58088,18.8105430177,0.5863143142,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.5675452515,False,0.0,1.0,0.5863143142,-1.0,2,18.0,0.00018,0.6561817332,15m-1756354500--1-b4280b,4h-1755849600-1-0f6a14,1,liquidity_pool_plus_buffer
trade-2743bde3e02e6a40,2743bde3e02e6a40,s146,USDJPY,USDJPYm,long,aggressive_liquidation,2025-08-28T08:05:00Z,2025-08-28T08:05:00Z,2025-08-28T08:50:00Z,147.2013597,147.206,147.206,147.0886452,147.0886452,147.0886452,0.1173548,147.754,147.754,4.6696002209,147.206,breakeven_stop,win,win,0.625,0.625,1.3719080941,1.3719080941,-0.1533810292,True,0.5,0.5,147.206,0.0,9,10.0,0.01,0.0852116829,15m-1756359900-1-6039cc,4h-1756281600--1-a4f268,1,liquidity_pool_plus_buffer
trade-6ae9f1f11f5ec1b9,6ae9f1f11f5ec1b9,s146,GBPUSD,GBPUSDm,short,aggressive_liquidation,2025-08-28T09:15:00Z,2025-08-28T09:15:00Z,2025-08-28T10:15:00Z,1.3501424855,1.35031,1.35031,1.3509775455,1.3509775455,1.3509775455,0.0006675455,1.34528,1.34528,7.5350668981,1.3509775455,stop_loss,loss,loss,-1.0,-1.0,0.4344273162,0.4344273162,-1.0486176598,False,0.0,1.0,1.3509775455,-1.0,12,11.0,0.00011,0.1647827751,15m-1756362600--1-1371b6,4h-1756281600-1-7be69c,1,liquidity_pool_plus_buffer
