position_id,signal_id,symbol,direction,model,entry_utc,entry_ist_date,signal_close_utc,entry_price,original_stop,destination_target,broker_target,risk_price,risk_points,destination_target_matches_broker_tp,destination_zone_id,entry_zone_id,destination_rr_signal,destination_rr_fill,model_aggressive,direction_long,used_liquidity_pool_stop,spread_pct_of_risk,round_trip_cost_r,stop_multiple_vs_structural,destination_before_original_stop,destination_label_status,label_start_bar_utc,label_resolution_bar_utc,label_bars_observed,destination_only_r,fill_adverse_slippage_signal_r,destination_confirmation_age_h,destination_origin_age_h,destination_origin_to_bos_bars_4h,entry_zone_age_h,entry_zone_origin_to_bos_bars_15m,alert_to_signal_minutes,destination_width_r,destination_width_signal_r,entry_zone_width_r,fill_beyond_entry_proximal_r,stop_pad_beyond_distal_r,campaign_actionable_count,entry_is_logged_running_extreme,running_extreme_filter_enabled,campaign_fields_available,same_direction_zones_since_destination,all_formed_gap_from_extreme_r,entry_is_extreme_all_formed,formed_opposing_15m_between_count,not_invalidated_opposing_15m_between_count,blocker_history_complete_count,nearest_blocker_distance_r,blocker_total_width_r,clear_path_no_surviving_15m_blocker,destination_prior_selection_count,destination_prior_distinct_entry_zones,hours_since_destination_last_selection,signal5m_body_dir_r,signal5m_range_r,signal5m_close_location,signal5m_rejection_wick_r,signal5m_opposing_wick_r,signal5m_range_vs_prior,signal5m_volume_vs_prior,signal5m_prior_momentum_r,signal5m_prior_range_mean_r,signal5m_spread_r,signal5m_sweep_depth_r,signal5m_close_beyond_confirmation_r,signal5m_zone_penetration_r,signal5m_rejection_from_extreme_r,zone15m_bos_body_dir_r,zone15m_bos_range_r,zone15m_bos_close_location,zone15m_bos_rejection_wick_r,zone15m_bos_opposing_wick_r,zone15m_bos_range_vs_prior,zone15m_bos_volume_vs_prior,zone15m_bos_prior_momentum_r,zone15m_bos_prior_range_mean_r,zone15m_bos_spread_r,zone15m_close_beyond_bos_r,destination4h_bos_body_dir_r,destination4h_bos_range_r,destination4h_bos_close_location,destination4h_bos_rejection_wick_r,destination4h_bos_opposing_wick_r,destination4h_bos_range_vs_prior,destination4h_bos_volume_vs_prior,destination4h_bos_prior_momentum_r,destination4h_bos_prior_range_mean_r,destination4h_bos_spread_r
2219420071,fe99667b02674060,AUDUSD,short,aggressive_liquidation,2026-08-24T11:45:18.542000+00:00,2026-08-24,2026-08-24T11:45:00+00:00,0.71634,0.71714,0.7119,0.7119,0.0008,80.0,True,4h-1787241600-1-5c1bda,15m-1787553900--1-86e0bc,5.22,5.55,True,False,True,10.69,0.2139,1.0,False,original_stop_first,2026-08-24T11:50:00+00:00,2026-08-26T01:30:00+00:00,453,-1.0,-0.0544,79.75,91.75,3.0,4.0,4.0,5.0,1.7,1.616,0.55,0.4,0.05,1.0,True,True,True,7,0.7,False,18,5,5,2.35,1.275,False,0,0,,0.2375,0.4875,0.9487,0.225,0.025,2.0,2.0633,-0.8875,0.3396,0.1125,0.275,0.1875,0.075,0.4625,0.4375,0.6625,0.8491,0.125,0.1,1.2326,0.9958,-0.325,0.5594,0.1125,0.0375,2.7625,3.1375,0.8805,0.0,0.375,1.3073,0.8952,-0.5875,2.5219,0.1125
2219420672,c01f4d771dda0cd0,EURAUD,long,aggressive_liquidation,2026-08-24T11:45:22.313000+00:00,2026-08-24,2026-08-24T11:45:00+00:00,1.6285,1.62779,1.64035,1.64035,0.00071,71.0,True,4h-1787241600--1-fed4b1,15m-1787565600-1-ffc165,18.54,16.69,True,True,False,26.45,0.5289,1.0,False,original_stop_first,2026-08-24T11:50:00+00:00,2026-08-26T01:30:00+00:00,452,-1.0,0.1067,79.75,91.75,3.0,0.5,5.0,5.0,2.873,3.174,0.394,0.352,0.254,1.0,True,True,True,4,0.38,False,93,7,7,1.056,3.704,False,0,0,,0.4789,0.6761,0.9167,0.1408,0.0563,1.5738,1.4417,-2.0423,0.6009,0.2394,0.4014,0.2183,0.5352,0.6197,0.6056,0.9155,0.8,0.1268,0.1831,1.6049,1.2573,1.0986,0.6021,0.2394,0.5775,5.9014,6.4789,0.9109,0.0,0.5775,1.84,0.8942,-0.493,3.9648,0.2394
2219421833,889fa8fa581fe348,GBPAUD,long,aggressive_liquidation,2026-08-24T11:45:26.272000+00:00,2026-08-24,2026-08-24T11:45:00+00:00,1.90334,1.9021,1.9159899999999999,1.9159899999999999,0.00124,124.0,True,4h-1787256000--1-d949f1,15m-1787565600-1-4ca125,11.51,10.202,True,True,True,18.91,0.3783,1.0,False,original_stop_first,2026-08-24T11:50:00+00:00,2026-08-26T01:30:00+00:00,451,-1.0,0.1124,75.75,87.75,3.0,0.5,5.0,10.0,0.685,0.766,0.565,0.129,0.306,1.0,True,True,True,6,1.081,False,94,8,8,1.944,3.403,False,0,0,,0.3952,0.5645,0.9,0.1129,0.0565,1.9718,1.3508,-0.9113,0.3212,0.1694,0.2097,0.2984,0.6129,0.5081,0.5726,0.7177,0.8876,0.0645,0.0806,1.6481,1.1493,-0.1532,0.4496,0.1694,0.3226,2.621,2.9113,0.9778,0.2258,0.0645,1.0,1.0058,5.371,2.9274,0.1694
2219976618,efa0d654c07432da,GBPUSD,short,aggressive_liquidation,2026-08-24T12:35:19.790000+00:00,2026-08-24,2026-08-24T12:35:00+00:00,1.36418,1.36494,1.36073,1.36073,0.00076,76.0,True,4h-1787169600-1-95dc4e,15m-1787555700--1-0097e8,1.85,4.539,True,False,True,6.77,0.1355,1.0,False,original_stop_first,2026-08-24T12:40:00+00:00,2026-08-24T13:15:00+00:00,8,-1.0,-0.4864,96.58,112.58,4.0,4.83,2.0,5.0,1.211,0.623,0.355,0.224,0.421,1.0,True,True,True,12,1.816,False,13,6,6,0.461,4.145,False,2,2,65.5,0.3684,1.3026,0.404,0.1579,0.7763,2.3023,1.4347,-0.7632,0.6053,0.1316,0.2895,0.2368,0.2237,0.5263,1.4737,2.0526,0.9936,0.5658,0.0132,2.6,1.1477,-0.7368,0.8026,0.1316,0.5,0.9605,4.8026,0.2438,0.2105,3.6316,1.5699,1.1633,2.3289,2.9507,0.1316
2221465265,47bb4fafc4fdac4b,EURCAD,short,aggressive_liquidation,2026-08-24T14:25:17.124000+00:00,2026-08-24,2026-08-24T14:25:00+00:00,1.61347,1.6143,1.61118,1.61118,0.00083,83.0,True,4h-1787529600-1-b380ec,15m-1787578200--1-fe2790,2.35,2.759,True,False,True,16.11,0.3221,1.0,False,original_stop_first,2026-08-24T14:30:00+00:00,2026-08-24T14:45:00+00:00,4,-1.0,-0.1081,6.42,14.42,2.0,0.42,2.0,10.0,0.952,0.848,0.554,0.349,0.096,1.0,True,True,True,2,0.217,False,13,1,1,2.542,0.253,False,1,1,3.08,0.1928,0.3012,0.72,0.0241,0.0843,0.4098,0.728,-0.3855,0.7149,0.1807,0.0181,0.1988,-0.0723,0.2169,1.3735,1.4217,0.9661,0.0,0.0482,2.0345,1.4429,0.3614,0.8404,0.1807,0.3253,4.253,4.7349,0.9135,0.0723,0.4096,2.62,1.9635,3.0361,2.1416,0.1807
2229054847,8ebbcd0e2ab31e68,AUDNZD,short,aggressive_liquidation,2026-08-25T09:50:26.405000+00:00,2026-08-25,2026-08-25T09:50:00+00:00,1.20007,1.2006999999999999,1.19679,1.19679,0.00063,63.0,True,4h-1787256000-1-9c418b,15m-1787647500--1-333d7b,3.95,5.206,True,False,True,22.78,0.4557,1.0,False,original_stop_first,2026-08-25T09:55:00+00:00,2026-08-26T01:30:00+00:00,188,-1.0,-0.2025,97.83,109.83,3.0,0.58,2.0,0.0,1.81,1.443,0.492,0.27,0.238,1.0,True,True,True,12,0.651,False,42,6,6,0.365,3.984,False,0,0,,0.2063,0.4762,0.6667,0.1111,0.1587,1.2,0.8194,-0.7937,0.3836,0.2857,0.0714,0.246,0.0476,0.3175,1.1429,1.3333,0.9167,0.0794,0.1111,2.1,1.0,-0.1111,0.6151,0.2857,0.254,3.127,3.3016,1.0,0.1746,0.0,1.28,0.9741,1.1905,2.7024,0.2857
2229271794,1121345ca51c6a2f,EURJPY,short,aggressive_liquidation,2026-08-25T10:25:20.083000+00:00,2026-08-25,2026-08-25T10:25:00+00:00,185.77,185.945,184.814,184.814,0.175,175.0,True,4h-1787155200-1-68ec85,15m-1787288400--1-244be3,4.83,5.463,True,False,True,8.24,0.1649,1.0,False,original_stop_first,2026-08-25T10:30:00+00:00,2026-08-25T21:10:00+00:00,129,-1.0,-0.0994,126.42,138.42,3.0,100.67,3.0,135.0,1.291,1.164,0.063,0.863,0.074,1.0,True,True,True,15,0.0,True,24,8,8,0.171,3.137,False,0,0,,0.0457,0.1943,0.9706,0.1429,0.0057,0.7556,0.8682,0.7029,0.2495,0.0914,0.1429,0.0457,-0.7257,0.1886,0.6229,0.6229,1.0,0.0,0.0,2.9863,1.6279,0.1029,0.2214,0.0914,0.4857,1.6171,2.2743,0.794,0.1886,0.4686,1.1916,1.066,1.0171,2.5871,0.0914
2229567035,261a4b10d21bf7ed,AUDUSD,long,aggressive_liquidation,2026-08-25T11:15:21.566000+00:00,2026-08-25,2026-08-25T11:15:00+00:00,0.71526,0.71467,0.71638,0.71638,0.00059,59.0,True,4h-1787558400--1-63feb2,15m-1787649300-1-6d7379,1.82,1.898,True,True,True,14.84,0.2968,1.0,True,destination_first,2026-08-25T11:20:00+00:00,2026-08-25T19:50:00+00:00,103,1.898,-0.026,19.25,27.25,2.0,1.5,2.0,60.0,0.847,0.824,0.407,0.373,0.22,1.0,True,True,True,3,0.339,False,5,2,2,0.203,1.068,False,0,0,,0.1186,0.322,0.6316,0.0847,0.1186,1.52,1.3333,-0.0847,0.2712,0.1525,0.0847,0.1186,-0.0169,0.2034,0.661,1.1017,0.7385,0.1525,0.2881,1.9118,1.614,0.4915,0.589,0.1525,0.3559,2.4237,3.1525,0.9462,0.5593,0.1695,1.4475,1.4717,-0.8814,2.1229,0.1525
2229653939,728293ecae1ad09f,EURUSD,long,aggressive_liquidation,2026-08-25T11:30:20.181000+00:00,2026-08-25,2026-08-25T11:30:00+00:00,1.16621,1.16558,1.16749,1.16749,0.00063,63.0,True,4h-1787515200--1-29b900,15m-1787643000-1-1d60d6,1.95,2.032,True,True,True,12.37,0.2475,1.0,True,destination_first,2026-08-25T11:35:00+00:00,2026-08-25T13:10:00+00:00,20,2.032,-0.0283,27.5,39.5,3.0,2.75,5.0,10.0,1.127,1.098,0.286,0.587,0.127,1.0,True,True,True,2,0.0,True,8,1,1,1.746,0.333,False,0,0,,0.3492,0.4286,0.963,0.0635,0.0159,1.102,0.7303,-0.2698,0.4339,0.127,0.0397,0.373,-0.0952,0.4127,0.5397,0.8095,0.8235,0.127,0.1429,1.1591,1.1291,0.5397,0.7183,0.127,0.4127,2.0317,2.9048,0.8743,0.5079,0.3651,1.8209,1.9451,0.5079,1.4206,0.127
2229881780,5f9c87dd730b6ac5,EURNZD,long,aggressive_liquidation,2026-08-25T12:05:17.443000+00:00,2026-08-25,2026-08-25T12:05:00+00:00,1.95516,1.9535200000000001,1.96361,1.96361,0.00164,164.0,True,4h-1787241600--1-7e0b74,15m-1787565600-1-797c6d,4.44,5.152,True,True,True,11.86,0.2371,1.0,False,original_stop_first,2026-08-25T12:10:00+00:00,2026-08-25T19:30:00+00:00,89,-1.0,-0.1174,104.08,116.08,3.0,25.08,4.0,10.0,1.311,1.159,0.061,0.768,0.171,1.0,True,True,True,13,0.683,False,61,4,4,1.207,1.726,False,0,0,,0.25,0.4756,0.5385,0.0061,0.2195,1.6774,1.3459,-0.3476,0.314,0.1341,0.0915,0.1646,-0.3659,0.2561,0.9451,0.9451,1.0,0.0,0.0,3.4444,1.262,0.3171,0.3186,0.1341,0.2134,2.6159,3.4024,0.8047,0.122,0.6646,2.3948,0.8878,0.0427,1.7729,0.1341
2229921396,974ab2b4130a9d87,EURCAD,short,aggressive_liquidation,2026-08-25T12:10:24.595000+00:00,2026-08-25,2026-08-25T12:10:00+00:00,1.61619,1.61656,1.61118,1.61118,0.00037,37.0,True,4h-1787529600-1-b380ec,15m-1787654700--1-38747f,7.66,13.541,True,False,True,24.13,0.4826,1.0,False,original_stop_first,2026-08-25T12:15:00+00:00,2026-08-25T12:20:00+00:00,2,-1.0,-0.4035,28.17,36.17,2.0,0.42,4.0,15.0,2.135,1.271,1.27,-0.784,0.514,1.0,True,True,True,5,0.0,True,30,4,4,2.243,3.054,False,2,2,21.75,0.5946,1.2162,0.7111,0.2703,0.3514,1.3636,1.1926,-1.7838,0.9505,0.4054,0.2703,0.5946,1.5405,0.8649,1.1892,1.4324,0.9245,0.1351,0.1081,0.9636,0.8448,1.5405,1.4595,0.4054,1.0,9.5405,10.6216,0.9135,0.1622,0.9189,2.62,1.9635,6.8108,4.8041,0.4054
2230675041,fdd784b8fbf3970a,USDJPY,long,aggressive_liquidation,2026-08-25T13:20:24.915000+00:00,2026-08-25,2026-08-25T13:20:00+00:00,159.224,159.114,159.591,159.591,0.11,110.0,True,4h-1787068800--1-3f4405,15m-1787619600-1-63dc40,3.11,3.336,True,True,False,8.63,0.1725,1.0,False,original_stop_first,2026-08-25T13:25:00+00:00,2026-08-25T19:50:00+00:00,78,-1.0,-0.0514,153.33,165.33,3.0,11.33,4.0,5.0,0.5,0.474,0.555,0.373,0.073,1.0,True,True,True,24,9.627,False,31,5,5,0.382,1.718,False,0,0,,0.3,0.5909,0.7538,0.1455,0.1455,1.8056,1.563,-0.8636,0.4424,0.0909,0.3091,0.1364,0.2364,0.4455,0.5455,0.9273,0.5882,0.0,0.3818,1.2,1.128,0.7182,0.7682,0.0909,0.3545,1.1909,2.4091,0.4943,0.0,1.2182,1.963,3.315,0.7364,1.2273,0.0909
2231175910,5623e5d3143f62c5,GBPCAD,short,conservative_mss,2026-08-25T13:55:28.138000+00:00,2026-08-25,2026-08-25T13:55:00+00:00,1.88782,1.89047,1.8830900000000002,1.8830900000000002,0.00265,265.0,True,4h-1787529600-1-781ef5,15m-1787652900--1-1ca226,1.66,1.785,False,False,True,6.49,0.1298,1.0,False,original_stop_first,2026-08-25T14:00:00+00:00,2026-08-26T03:20:00+00:00,160,-1.0,-0.0448,29.92,37.92,2.0,3.17,2.0,110.0,0.585,0.559,0.091,0.819,0.091,1.0,True,True,True,4,0.0,True,23,4,4,0.113,0.464,False,1,1,28.74,0.0566,0.1509,0.85,0.0717,0.0226,0.6504,0.9439,0.4679,0.2327,0.0679,,0.0528,-0.6792,0.1283,0.1547,0.2491,0.8939,0.0679,0.0264,1.1892,0.9707,0.0981,0.2453,0.0679,0.0679,1.6679,1.9774,0.8473,0.0075,0.3019,2.895,1.7701,1.4943,0.6887,0.0679
2231603787,07de30548fdc650b,GBPNZD,long,aggressive_liquidation,2026-08-25T14:35:15.026000+00:00,2026-08-25,2026-08-25T14:35:00+00:00,2.28442,2.28315,2.2928100000000002,2.2928100000000002,0.00127,127.0,True,4h-1787241600--1-d99482,15m-1787565600-1-3403a3,4.06,6.606,True,True,False,12.58,0.2515,1.0,False,original_stop_first,2026-08-25T14:40:00+00:00,2026-08-25T15:30:00+00:00,11,-1.0,-0.3323,98.58,118.58,5.0,27.58,4.0,0.0,1.315,0.875,0.472,0.441,0.087,1.0,True,True,True,13,2.094,False,50,2,2,3.087,0.591,False,2,2,29.33,0.1732,1.063,0.5852,0.4488,0.4409,2.0149,2.4454,-1.5591,0.5735,0.189,0.3622,0.2598,0.2126,0.622,1.1024,1.1102,1.0,0.0079,0.0,2.186,1.1596,0.189,0.4587,0.189,0.937,2.5906,3.4016,0.956,0.6614,0.1496,1.9548,1.3889,5.5512,2.6319,0.189
