meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-187e0c3580eee1e6,EURUSD,2025-09-11T01:05:00Z,30.0,0.06666667,0.93333333,0.0,-0.28827878,-1.0,-1.0,1.04408448,-1.08929469,6.42934854,0.86666667,6.26345344,13.9,9.67581825,0.07142957,
trade-e7162422edb6aa9b,GBPUSD,2025-09-11T19:00:00Z,30.0,0.7,0.23333333,0.06666667,8.42315385,11.41821606,9.74592822,9.04397164,-0.66899526,9.46909299,1.0,0.73207931,36.43333333,11.41821606,2.99999143,
trade-5b9ed441e9f7104d,GBPUSD,2025-09-11T22:10:00Z,30.0,0.83333333,0.16666667,0.0,9.78859761,11.94631713,11.94631713,10.24706064,-0.54939082,8.29994569,1.0,1.13034746,36.96666667,11.94631713,4.999976,
trade-7f94f12582868d40,AUDUSD,2025-09-12T03:05:00Z,30.0,0.93333333,0.06666667,0.0,3.83701545,4.18251656,4.18251656,4.4284084,-0.45129095,4.72840529,1.0,0.65666205,29.63333333,4.18251656,13.999805,
trade-45c635cf105c6f0b,GBPUSD,2025-09-12T07:35:00Z,30.0,0.7,0.16666667,0.13333333,1.87743179,2.55217998,2.09702709,2.23978871,-0.59791734,2.13300626,1.0,0.32976741,69.8,2.55217998,4.1999808,
trade-e1254bed1703bc61,GBPUSD,2025-09-12T11:10:00Z,30.0,0.63333333,0.23333333,0.13333333,1.96810867,2.98127647,1.81813741,2.40278032,-0.73902708,2.85183302,1.0,0.49012981,53.63333333,2.98127647,2.71427837,
trade-fefa2b3f03ccc751,USDCHF,2025-09-12T17:30:00Z,30.0,0.36666667,0.63333333,0.0,0.80042299,-1.0,-1.0,1.65428679,-0.935756,4.29721791,0.96666667,1.66587716,42.7,3.91024452,0.57894803,
trade-9f4e8a5e1d26f1ee,AUDUSD,2025-09-15T02:25:00Z,30.0,0.66666667,0.33333333,0.0,2.69397692,4.54096538,-1.0,4.40966304,-0.76587374,7.72215683,0.96666667,3.12178284,37.7,4.54096538,1.999997,
trade-6c8c54505a212458,GBPUSD,2025-09-15T04:00:00Z,30.0,0.66666667,0.33333333,0.0,3.73296859,6.09945289,-1.0,5.98146407,-0.85471197,3.24956697,1.0,3.34917339,33.03333333,6.09945289,1.999997,
trade-8753caa09fe5bf64,EURUSD,2025-09-15T15:25:00Z,30.0,0.73333333,0.26666667,0.0,2.06406658,3.17827261,0.04456815,2.46939822,-0.73181318,4.40305794,1.0,0.42884494,28.03333333,3.17827261,2.74999344,
trade-9039fa40fe765e7c,GBPUSD,2025-09-16T03:00:00Z,30.0,0.5,0.2,0.3,8.72634308,11.76870726,7.49351946,10.53314858,-0.5703222,8.26103167,1.0,0.78146308,55.66666667,12.70795056,2.4999925,
trade-28176b6fe387e202,AUDUSD,2025-09-16T06:10:00Z,30.0,0.13333333,0.13333333,0.73333333,2.00469602,1.64794627,1.07410082,5.03297087,-0.54227461,1.77432084,1.0,0.66893021,77.73333333,6.53447648,1.0,
trade-4ff45cc47ba3f8ac,USDJPY,2025-09-16T09:25:00Z,30.0,1.0,0.0,0.0,1.93865651,1.93865651,1.93865651,2.08488121,-0.39598482,3.25396026,1.0,0.17417967,38.5,1.93865651,1000001.0,
trade-cbda4c5d93d8b300,EURUSD,2025-09-16T13:00:00Z,30.0,0.93333333,0.06666667,0.0,2.05653847,2.27486265,2.27486265,2.38384191,-0.52308307,5.28657251,1.0,0.33312829,24.76666667,2.27486265,13.999805,
trade-fd03201decf8c315,EURUSD,2025-09-16T21:00:00Z,30.0,0.36666667,0.63333333,0.0,3.92779278,-1.0,-1.0,5.0845687,-0.99624114,18.67409412,0.96666667,5.01008413,20.86666667,12.43943485,0.57894803,
trade-9c63846e40d795a2,USDJPY,2025-09-17T05:15:00Z,30.0,0.76666667,0.23333333,0.0,2.47178965,3.52842128,3.52842128,2.93829428,-0.59643739,3.94182032,1.0,0.21303038,49.83333333,3.52842128,3.28570449,
trade-df78000b8b553aa0,AUDUSD,2025-09-17T14:30:00Z,30.0,0.0,0.36666667,0.63333333,1.76679748,2.86553778,-1.0,2.92162342,-0.79915081,3.29304707,1.0,0.53590126,63.13333333,14.12825872,2.73e-06,
trade-0a6cb4c8f1b0c0a7,USDCHF,2025-09-17T14:35:00Z,30.0,0.03333333,0.96666667,0.0,-0.62302692,-1.0,-1.0,0.95580218,-2.06869939,13.03972597,0.83333333,7.69766458,11.73333333,10.30919231,0.03448376,
trade-75e0869144305d1e,NZDUSD,2025-09-18T03:25:00Z,30.0,1.0,0.0,0.0,1.71895453,1.71895453,1.71895453,1.80935089,-0.14867664,2.23546489,1.0,0.16687672,40.46666667,1.71895453,1000001.0,
trade-6a5b9878f256bc76,GBPUSD,2025-09-18T06:50:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.20044691,-1.12293053,-4.4248849,0.0,0.33686117,16.93333333,5.92396925,1e-06,
trade-c1aee4d4b8f1f8ab,EURUSD,2025-09-18T09:20:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.77218452,-1.09259013,-2.17752145,0.0,0.56163639,49.2,3.81037382,1e-06,
trade-a4523301a41207b8,AUDUSD,2025-09-18T18:15:00Z,30.0,0.56666667,0.43333333,0.0,2.14231543,4.54526252,-1.0,3.18979765,-0.87224248,12.33365789,1.0,0.76172324,31.83333333,4.54526252,1.3076916,
trade-bd2c2d077c2b40eb,USDJPY,2025-09-18T18:15:00Z,30.0,0.8,0.2,0.0,4.58282019,5.97852524,5.97852524,5.62654171,-0.54238753,8.32124622,1.0,0.3655337,40.63333333,5.97852524,3.999985,
