meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-0077c6df7e13054f,EURUSD,2025-09-01T01:10:00Z,30.0,0.83333333,0.16666667,0.0,1.63299774,2.15959729,2.15959729,2.16555825,-0.6620197,4.74451865,1.0,1.31166236,44.43333333,2.15959729,4.999976,
trade-0fa5bb2b7c1fef93,USDJPY,2025-09-01T05:45:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.45960757,-1.28313908,-0.44202353,0.3,1.06404217,13.1,7.43344944,1e-06,
trade-1f19b9c8042216c1,AUDUSD,2025-09-01T08:05:00Z,30.0,0.0,0.2,0.8,2.54324198,3.29772144,2.74355105,4.13449878,-0.75304117,3.43729687,1.0,0.4496158,79.0,15.26461325,5e-06,
trade-e6d392c90757203c,USDCHF,2025-09-01T08:05:00Z,30.0,0.0,0.43333333,0.56666667,1.29048549,2.4496454,-1.0,2.11663752,-0.99474511,3.12374648,1.0,0.45933449,59.03333333,8.44716329,2.31e-06,
trade-399cd00e0dcd2fc5,AUDUSD,2025-09-01T12:05:00Z,30.0,0.0,0.03333333,0.96666667,2.95053134,3.097709,2.8181958,3.77206701,-0.45691023,3.08650611,1.0,0.27472248,93.2,12.21960293,3e-05,
trade-c42e86a0540ff826,USDCAD,2025-09-02T15:20:00Z,30.0,1.0,0.0,0.0,2.58049066,2.58049066,2.58049066,2.74397838,-0.20181978,3.08392266,1.0,0.16926112,23.1,2.58049066,1000001.0,
trade-c4f6714a4519fa8b,USDCHF,2025-09-02T16:50:00Z,30.0,0.96666667,0.0,0.03333333,4.35573908,4.37719054,4.37719054,4.89938309,-0.40001159,4.20686897,1.0,0.40383436,64.43333333,4.37719054,966667.66666667,
trade-79836a2dcbca50b9,USDJPY,2025-09-03T02:05:00Z,30.0,0.86666667,0.0,0.13333333,12.29755456,12.53058777,12.53058777,12.93031187,-0.34557437,12.06243113,1.0,0.85858353,72.53333333,12.53058777,866667.66666667,
trade-b3676328a7a637bd,NZDUSD,2025-09-03T07:35:00Z,30.0,0.0,0.16666667,0.83333333,2.53251509,3.11150682,2.96444275,2.89042999,-0.61802849,3.23099205,1.0,0.26423951,84.6,4.05842321,6e-06,
trade-324dc6e9f549094d,USDJPY,2025-09-03T10:55:00Z,30.0,0.0,0.3,0.7,5.21724272,7.49829032,-1.0,6.02239969,-0.7483623,8.27166955,1.0,1.22693527,71.73333333,12.73671304,3.33e-06,
trade-706c29f0ae813af8,USDCHF,2025-09-03T13:30:00Z,30.0,0.1,0.0,0.9,1.18829744,1.1493531,0.93914595,1.519225,-0.40814466,1.13464021,1.0,0.29700004,95.93333333,2.17082974,100001.0,
trade-8f3aaf9c46f9e2b5,USDCAD,2025-09-03T19:45:00Z,30.0,0.13333333,0.1,0.76666667,2.82330999,3.00195182,2.33639364,3.57520667,-0.4686966,3.10863982,1.0,0.65028247,85.46666667,5.08918433,1.33333,
trade-bf55df81bdb6e181,NZDUSD,2025-09-04T13:00:00Z,30.0,0.0,0.0,1.0,0.38606373,0.34994273,0.20361201,0.74543473,-0.46346547,0.38606373,0.96666667,0.24455742,96.0,3.08793588,1.0,
trade-cbb68910c209b3de,AUDUSD,2025-09-08T06:10:00Z,30.0,0.93333333,0.06666667,0.0,3.430686,3.74716357,3.74716357,3.69631861,-0.63093328,8.14081662,1.0,0.97216431,28.23333333,3.74716357,13.999805,
trade-092ffc351943ed6a,USDCHF,2025-09-08T06:10:00Z,30.0,0.46666667,0.43333333,0.1,4.12056476,7.73193538,-1.0,4.96628668,-0.91550914,8.08398836,1.0,0.56835487,55.56666667,8.17115296,1.0769229,
trade-4048dd01ea1444f8,EURUSD,2025-09-08T07:50:00Z,30.0,0.73333333,0.0,0.26666667,8.36093193,8.72440557,8.39191684,8.79591048,-0.49454816,8.4087933,1.0,0.8329191,83.7,8.72440557,733334.33333333,
trade-4d63177affb4c3bc,USDCHF,2025-09-08T09:30:00Z,30.0,0.46666667,0.33333333,0.2,9.10987096,13.93441173,-1.0,10.18015099,-0.94623682,14.5498149,1.0,0.81449016,69.7,14.39030358,1.3999988,
trade-9bca221d0a116ce0,AUDUSD,2025-09-08T20:00:00Z,30.0,0.9,0.0,0.1,9.61800793,9.76240208,9.76240208,10.21239522,-0.36634853,10.28047197,1.0,1.20671958,66.8,9.76240208,900001.0,
trade-1ea4a14d7c49e2af,AUDUSD,2025-09-09T01:45:00Z,30.0,0.56666667,0.0,0.43333333,5.91898464,6.51758956,5.36191234,6.40064131,-0.22888654,5.59337353,1.0,0.7396307,81.4,6.51758956,566667.66666667,
trade-55dc208527fa83be,GBPUSD,2025-09-09T07:40:00Z,30.0,0.13333333,0.0,0.86666667,2.99169239,2.9257174,2.50545342,3.59013772,-0.2128919,2.89235346,1.0,0.64749357,93.3,4.24573509,133334.33333333,
trade-ac23cd1ca3229288,NZDUSD,2025-09-09T08:35:00Z,30.0,0.0,0.26666667,0.73333333,4.89007019,6.64659992,0.54612212,5.84867155,-0.71414396,7.07538503,1.0,0.76635156,72.0,10.30688353,3.75e-06,
trade-0305af25bc229ce9,USDCHF,2025-09-09T18:15:00Z,30.0,0.0,0.96666667,0.03333333,-0.93098693,-1.0,-1.0,0.5687379,-1.51584058,-1.19749717,0.23333333,1.34793195,35.0,12.80328768,1.03e-06,
trade-4b321982df535399,EURUSD,2025-09-10T04:15:00Z,30.0,0.0,0.43333333,0.56666667,1.34863735,2.13487949,-1.0,2.27871092,-1.02964923,3.20068305,1.0,0.91373827,66.2,6.46888261,2.31e-06,
trade-aa9ffc14a4d73b9f,AUDUSD,2025-09-10T06:15:00Z,30.0,0.0,0.0,1.0,2.32744887,2.37682268,2.10912299,3.0171138,-0.41557993,2.32744887,1.0,0.53383887,96.0,7.0682266,1.0,
trade-37d0aa4ed4ba90e7,USDCAD,2025-09-10T06:45:00Z,30.0,0.33333333,0.36666667,0.3,2.9191499,3.46525727,-1.0,3.82582694,-0.86536663,5.38463358,1.0,1.53640165,57.6,6.49233012,0.90909116,
trade-e68ab81c62602797,NZDUSD,2025-09-10T08:05:00Z,30.0,0.0,0.16666667,0.83333333,-0.2394326,-0.24133894,-0.61278625,0.94307238,-0.62999933,-0.07866807,0.46666667,0.44442086,88.46666667,4.47303536,6e-06,
trade-9c00e466c47f584a,EURUSD,2025-09-10T11:10:00Z,30.0,0.03333333,0.9,0.06666667,-0.36161353,-1.0,-1.0,0.96223649,-1.26708888,4.93068796,1.0,1.12072893,20.4,6.21047017,0.03703811,
trade-6dd02195e8a9918e,USDCAD,2025-09-10T13:00:00Z,30.0,0.53333333,0.16666667,0.3,3.05007611,4.16587864,3.24605265,3.59887976,-0.52131228,3.6937816,1.0,0.48213088,60.8,4.16587864,3.1999868,
trade-f542e8889cd5a33b,USDCAD,2025-09-10T15:30:00Z,30.0,0.6,0.03333333,0.36666667,3.04005507,3.95754211,1.98106885,3.78929549,-0.28606267,2.21413369,1.0,0.5145204,73.5,3.95754211,17.99949002,
trade-187e0c3580eee1e6,EURUSD,2025-09-11T01:05:00Z,30.0,0.0,0.5,0.5,2.19459693,1.47972715,-1.0,3.20683716,-1.20587802,6.01528078,1.0,1.1535537,62.93333333,9.67581825,2e-06,
trade-e7162422edb6aa9b,GBPUSD,2025-09-11T19:00:00Z,30.0,0.43333333,0.0,0.56666667,10.26644533,10.36479419,9.55814985,11.15549821,-0.31087495,9.58926241,1.0,0.98795995,82.0,11.41821606,433334.33333333,
trade-5b9ed441e9f7104d,GBPUSD,2025-09-11T22:10:00Z,30.0,0.1,0.5,0.4,4.40803,3.54501396,-1.0,5.19885086,-0.91885513,9.16804251,1.0,0.86466736,46.0,11.94631713,0.2000016,
trade-7f94f12582868d40,AUDUSD,2025-09-12T03:05:00Z,30.0,0.56666667,0.0,0.43333333,3.89683932,4.18251656,3.58633814,4.17336077,-0.13800858,3.89601425,1.0,0.49494893,78.66666667,4.18251656,566667.66666667,
trade-45c635cf105c6f0b,GBPUSD,2025-09-12T07:35:00Z,30.0,0.3,0.1,0.6,1.43383171,1.65033422,0.92667268,1.86724881,-0.61255841,1.49443312,1.0,0.60860954,82.56666667,2.55217998,2.99998,
trade-e1254bed1703bc61,GBPUSD,2025-09-12T11:10:00Z,30.0,0.43333333,0.23333333,0.33333333,1.45401912,1.87019339,-0.21637262,2.2937361,-0.66970367,1.72340972,0.96666667,0.67523574,49.43333333,2.98127647,1.85713918,
trade-fefa2b3f03ccc751,USDCHF,2025-09-12T17:30:00Z,30.0,0.0,0.9,0.1,-0.71736639,-1.0,-1.0,0.69053157,-1.81555687,1.54868798,1.0,0.86378104,49.93333333,3.91024452,1.11e-06,
trade-9f4e8a5e1d26f1ee,AUDUSD,2025-09-15T02:25:00Z,30.0,0.0,0.0,1.0,0.54703817,0.48151475,0.13885806,1.14527629,-0.36873145,0.54703817,0.86666667,0.52216198,96.0,4.54096538,1.0,
trade-6c8c54505a212458,GBPUSD,2025-09-15T04:00:00Z,30.0,0.0,0.83333333,0.16666667,-0.7657008,-1.0,-1.0,0.95498765,-1.04479274,0.89897444,0.63333333,1.50719491,46.26666667,6.09945289,1.2e-06,
trade-8753caa09fe5bf64,EURUSD,2025-09-15T15:25:00Z,30.0,1.0,0.0,0.0,3.17827261,3.17827261,3.17827261,3.39086453,-0.3608469,3.38587313,1.0,0.41579675,54.53333333,3.17827261,1000001.0,
trade-9039fa40fe765e7c,GBPUSD,2025-09-16T03:00:00Z,30.0,0.0,0.06666667,0.93333333,7.49890616,8.10023638,7.46863568,9.21020481,-0.41231751,8.11491901,1.0,0.69193327,90.03333333,12.70795056,1.5e-05,
trade-28176b6fe387e202,AUDUSD,2025-09-16T06:10:00Z,30.0,0.0,0.03333333,0.96666667,1.51677481,1.52847344,1.22829522,2.15015789,-0.53592998,1.61400197,1.0,0.597323,92.96666667,6.53447648,3e-05,
trade-4ff45cc47ba3f8ac,USDJPY,2025-09-16T09:25:00Z,30.0,1.0,0.0,0.0,1.93865651,1.93865651,1.93865651,2.02511186,-0.20320348,2.94325304,1.0,0.2356034,39.16666667,1.93865651,1000001.0,
trade-cbda4c5d93d8b300,EURUSD,2025-09-16T13:00:00Z,30.0,1.0,0.0,0.0,2.27486265,2.27486265,2.27486265,2.38701472,-0.07803584,3.87912428,1.0,0.19733571,23.2,2.27486265,1000001.0,
trade-fd03201decf8c315,EURUSD,2025-09-16T21:00:00Z,30.0,0.96666667,0.0,0.03333333,12.40001503,12.43943485,12.43943485,13.1039639,4.67597664,13.70701205,1.0,1.34993634,47.16666667,12.43943485,966667.66666667,
trade-9c63846e40d795a2,USDJPY,2025-09-17T05:15:00Z,30.0,0.13333333,0.16666667,0.7,2.25192732,2.81796071,2.40960896,2.66525027,-0.69419547,2.91861407,1.0,0.39758612,83.06666667,3.52842128,0.8000012,
trade-df78000b8b553aa0,AUDUSD,2025-09-17T14:30:00Z,30.0,0.0,0.3,0.7,0.87371505,1.33272458,-1.0,2.62353197,-0.75738658,1.75246272,1.0,0.54186563,68.76666667,14.12825872,3.33e-06,
trade-0a6cb4c8f1b0c0a7,USDCHF,2025-09-17T14:35:00Z,30.0,0.0,0.93333333,0.06666667,-0.72612955,-1.0,-1.0,1.9195656,-2.20731112,2.82908121,1.0,1.51423455,36.36666667,10.30919231,1.07e-06,
trade-75e0869144305d1e,NZDUSD,2025-09-18T03:25:00Z,30.0,1.0,0.0,0.0,1.71895453,1.71895453,1.71895453,1.77102037,-0.0839914,2.1861695,1.0,0.22437982,33.16666667,1.71895453,1000001.0,
trade-6a5b9878f256bc76,GBPUSD,2025-09-18T06:50:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-0.08335713,-1.14546165,-3.93525757,0.0,0.61890746,4.8,5.92396925,1e-06,
trade-c1aee4d4b8f1f8ab,EURUSD,2025-09-18T09:20:00Z,30.0,0.0,0.8,0.2,-0.86380488,-1.0,-1.0,1.38157824,-0.98184501,-1.10526185,0.03333333,0.57067192,77.23333333,3.81037382,1.25e-06,
trade-a4523301a41207b8,AUDUSD,2025-09-18T18:15:00Z,30.0,0.86666667,0.13333333,0.0,3.80589418,4.54526252,4.54526252,4.78967321,-0.5071179,10.37187064,1.0,0.74120509,41.06666667,4.54526252,6.49995875,
trade-bd2c2d077c2b40eb,USDJPY,2025-09-18T18:15:00Z,30.0,0.93333333,0.0,0.06666667,5.88799383,5.97852524,5.97852524,6.59115417,-0.22840239,6.72028449,1.0,0.92757783,61.23333333,5.97852524,933334.33333333,
